Lang,String,Region,Family,Consider
Inglés,1i2you3we4this5that6who7what8not9all10many11one12two13big14long15small16woman17many18person19fish20bird21dog22louse23tree24seed25leaf26root27bark28skin29flesh30blood31bone32grease33egg34horn35tail36feather37hair38head39ear40eye41nose42mouth43tooth44tongue45claw46foot47knee48hand49belly50neck51breats52heart53liver54drink55eat56bite57seed58heart59know60sleep61die62kill63swim64fly65walk66come67lie68sit69stand70give71say72sun73moon74star75water76rain77stone78sand79earth80cloud81smoke82fire83ash84burn85path86mountain87red88green89yellow90white91black92night93hot94cold95full96new97good98round99dry100name,Western Europe,Germanic,1
Portugues,1eu2você3nós4esta5que6quem7oque8não9tudo10muitos11um12dois13grande14longo15pequeno16mulher17muitos18pessoa19peixe20pássaro21cão22piolho23árvore24semente25folha26raiz27casca28pele29carne30sangue31osso32graxa33ovo34chifre35cauda36pena37cabelo38cabeça39orelha40olho41nariz42boca43dente44língua45garra46pé47joelho48mão49barriga50pescoço51breats52coração53fígado54bebida55comer56morder57semente58coração59saber60sono61morrer62matar63natação64voar65andar66vir67mentira68sentar69suporte70dar71dizer72sol73lua74estrela75água76chuva77pedra78areia79terra80nuvem81fumo82fogo83cinza84queimar85caminho86montanha87vermelho88verde89amarelo90branco91preto92noite93quente94frio95completo96novo97bom98redondo99limpeza100nome,Western Europe,Romance,1
Italiano,1io2voi3noi4questo5che6che7cosa8non9tutto10molti11uno12due13grande14lungo15piccolo16donna17molti18persona19pesce20uccello21cane22pidocchio23albero24seme25foglia26radice27corteccia28pelle29carne30sangue31osso32grasso33uovo34corno35coda36piuma37capelli38testa39orecchio40occhio41naso42bocca43dente44lingua45artiglio46piede47ginocchio48mano49pancia50collo51breats52cuore53fegato54bere55mangiare56morso57seme58cuore59sapere60sonno61morire62uccidere63nuotata64volare65camminare66venire67menzogna68sedersi69stareinpiedi70dare71dire72sole73luna74stella75acqua76pioggia77pietra78sabbia79terra80nuvola81fumo82fuoco83cenere84bruciare85sentiero86montagna87rosso88verde89giallo90bianco91nero92notte93caldo94freddo95pieno96nuovo97buono98tondo99pulizia100nome,Western Europe,Romance,1
Frances,1je2vous3nous4cette5que6qui7quelle8pas9tous10beaucoup11un12deux13grand14long15petit16femme17beaucoup18personne19poisson20oiseau21chien22pou23arbre24graine25feuille26racine27écorce28peau29chair30sang31os32graisse33œuf34corne35queue36plume37cheveux38tête39oreille40œil41nez42bouche43dent44langue45griffe46pied47genou48main49ventre50cou51breats52cœur53foie54boisson55manger56mordre57graine58cœur59savoir60sommeil61mourir62tuer63nager64voler65marcher66venir67mensonge68s'asseoir69setenirdebout70donner71dire72soleil73lune74star75eau76pluie77pierre78sable79terre80nuage81fumée82feu83cendre84brûler85chemin86montagne87rouge88vert89jaune90blanc91noir92nuit93chaud94froid95complet96nouveau97bon98rond99nettoyage100nom,Western Europe,Romance,1
Aleman,1ich2sie3wir4diese5dass6die7was8nicht9alle10viele11ein12zwei13groß14lang15klein16frau17viele18person19fisch20vogel21hund22laus23baum24samen25blatt26wurzel27rinde28haut29fleisch30blut31knochen32fett33ei34horn35schwanz36feder37haar38kopf39ohr40auge41nase42mund43zahn44zunge45klaue46fuß47knie48hand49bauch50hals51breats52herz53leber54getränk55essen56beißen57samen58herz59wissen60schlaf61sterben62töten63schwimmen64fliegen65gehen66kommen67lüge68sitzen69stehen70geben71sagen72sonne73mond74stern75wasser76regen77stein78sand79erde80wolke81rauch82feuer83asche84verbrennen85weg86berg87rot88grün89gelb90weiß91schwarz92nacht93heiß94kalt95voll96neu97gut98runde99reinigung100name,Western Europe,Germanic,1
Catalán,1jo2vostè3nosaltres4aquest5que6que7què8no9tots10molts11un12dos13gran14llarg15petit16dona17molts18persona19peix20ocell21gos22poll23arbre24llavor25full26arran27lladruc28pell29carn30sang31os32greix33ou34banya35cua36ploma37pèl38cap39orella40ull41nas42boca43dent44llengua45arpa46peu47genoll48mà49ventre50coll51breats52cor53fetge54beguda55menjar56mossegar57llavor58cor59saber60somni61morir62matar63nedar64volar65caminar66venir67mentida68seure69estardempeus70donar71dir72sol73lluna74estrella75aigua76pluja77pedra78sorra79terra80núvol81fum82foc83cendra84cremar85camí86muntanya87vermell88verd89groc90blanc91negre92nit93calenta94fred95complet96nou97bo98ronda99neteja100nom,Western Europe,Romance,1
Español,1yo2usted3nosotros4este5que6que7qué8no9todos10muchos11uno12dos13grande14largo15pequeño16mujer17muchos18persona19pescado20pájaro21perro22piojo23árbol24semilla25hoja26raíz27ladrido28piel29carne30sangre31hueso32grasa33huevo34cuerno35cola36pluma37pelo38cabeza39oreja40ojo41nariz42boca43diente44lengua45garra46pie47rodilla48mano49vientre50cuello51breats52corazón53hígado54bebida55comer56morder57semilla58corazón59saber60sueño61morir62matar63nadar64volar65caminar66venir67mentira68sentarse69estardepie70dar71decir72sol73luna74estrella75agua76lluvia77piedra78arena79tierra80nube81humo82fuego83ceniza84quemar85camino86montaña87rojo88verde89amarillo90blanco91negro92noche93caliente94frío95completo96nuevo97bueno98ronda99limpieza100nombre,Western Europe,Romance,1
Noruego,1jeg2du3vi4dette5det6som7hva8ikke9alt10mange11ett12to13stor14lenge15liten16kvinne17mange18person19fisk20fugl21hund22louse23treet24frø25blad26root27bark28hud29kjøtt30blod31bein32fett33egg34horn35hale36fjær37hår38hode39øre40øye41nese42munn43tann44tunge45klo46fot47kne48hånd49magen50hals51breats52hjerte53leveren54drikke55spise56bite57frø58hjerte59vet60søvn61dø62drepe63svømme64fly65gå66komme67løgn68sitte69stå70gi71si72sol73månen74stjerners75vann76regn77stein78sand79jorden80sky81røyk82brann83ask84brannsår85sti86fjellet87rød88grønn89gul90hvit91svart92natt93varm94forkjølelse95full96ny97god98runde99rengjøring100navn,Western Europe,Germanic,1
Polaco,1ja2ty3my4to5?e6kto7co8nie9wszystko10wiele11jeden12dwa13wielki14d?ugo15ma?y16kobieta17wiele18osoba19ryba20ptak21pies22wesz23drzewo24nasienie25li??26korze?27kora28skóra29cia?o30krew31ko??32smar33jajko34klakson35ogon36pióro37w?osy38g?owa39ucho40oko41nos42usta43z?b44j?zyk45pazur46stopa47kolano48r?ka49brzuch50szyja51breats52serce53w?troba54napój55je??56gry??57nasienie58serce59wiedzie?60sen61umiera?62zabi?63p?ywa?64lata?65spacer66przyj??67k?amstwo68siedzie?69sta?70da?71powiedzie?72s?o?ce73ksi??yc74gwiazda75woda76deszcz77kamie?78piasek79ziemia80chmura81dym82ogie?83popió?84spali?85?cie?ka86góra87czerwony88zielony89?ó?ty90bia?y91czarny92noc93gor?cy94zimno95pe?ny96nowy97dobry98okr?g?y99czyszczenie100nazwa,Eastern Europe,Slavic,1
Holandés,1ik2u3we4deze5dat6die7wat8niet9alle10veel11één12twee13groot14lang15small16vrouw17veel18persoon19vis20vogel21hond22luis23boom24zaad25blad26wortel27schors28huid29vlees30bloed31bot32vet33ei34hoorn35staart36veer37haar38hoofd39oor40oog41neus42mond43tand44tong45klauw46voet47knie48hand49buik50hals51breats52hart53lever54drank55eten56bijten57zaad58hart59weten60slaap61sterven62doden63zwemmen64vliegen65wandelen66komen67leugen68zitten69staan70geven71zeggen72zon73maan74ster75water76regen77steen78zand79aarde80wolk81rook82brand83as84brandwond85pad86berg87rood88groen89geel90wit91zwart92nacht93heet94koude95vol96nieuw97goed98rondje99schoonmaak100naam,Western Europe,Germanic,1
